cursor,author,mid,content,ctime,likes,score,final_watch,date
77021653373519,仰望星空ysg,283704218,好看，吹爆,1545843822,1,10,看至Special,2018-12-26 17:03:42
77021653373519,口无鸢酱,84089324,又一次的完结献血。,1549489519,0,10,看至Special,2019-02-06 21:45:19
77021653373519,我是千川,73562752,不错的日常,1549471455,0,10,看至第13话,2019-02-06 16:44:15
77013063404336,RIO颜狗,14901125,人设超有趣！剧情紧凑！好看！,1549457173,0,10,看至幕后SP,2019-02-06 12:46:13
77013063404336,胖喵爱吸猫,175973064,可以学到很多东西,1549452849,0,10,看至第7话,2019-02-06 11:34:09
77013063404336,我是喵上将,28547981,白细胞好帅！,1549445855,0,10,看至Special,2019-02-06 09:37:35
77013063404336,AAAAAxilzat,37982861,不怎么感兴趣的科普类番 不知道为什么停不下来,1549434299,0,10,看至第11话,2019-02-06 06:24:59
77013063404336,柴头橘鹰,23878838,四星半。我知道很有创意，但就是追不下去,1549272561,2,8,看至第4话,2019-02-04 09:29:21
77013063404336,-我阿-,275257205,看到后面就有点看不下去的说...,1549174082,3,6,看至第5话,2019-02-03 06:08:02
77013063404336,sakura聆听,37800839,看半弃系列,1549120573,4,4,看至Special,2019-02-02 15:16:13
77013063404336,啦啦啦我是笨鸡哟,77395637,看到后面实在有点无聊了,1549384719,0,8,看至第12话,2019-02-05 16:38:39
77013063404336,Swa99ie,166355442,很有教育意义的科普性质的儿童向的好番，有着精美的人设。但同时剧情泛善可陈的缺点也很明显。是一部好番，但不值得满分。,1549382073,0,8,看至第2话,2019-02-05 15:54:33
77013063404336,哈哈哈哈哈哈哈回家啊舅舅家,289127697,就是五星，就是任性,1549370312,0,10,看至第12话,2019-02-05 12:38:32
77013063404336,泠月の葬花魂,142693085,真的还是非常不错的一部番，科普中不失幽默，战斗中不失情感，兄贵中不失百合（滑稽），总而言之，技术太少啦！真希望出第二季，更新时间不要在凌晨，与主题背道而驰了（嘻嘻）,1549364943,0,10,看至Special,2019-02-05 11:09:03
77013063404336,一蓑烟雨任平生R-,39543003,良心动画,1549358976,0,10,看至第13话,2019-02-05 09:29:36
77013063404336,有穹必有妹,44531354,为了血小板,1549358364,0,10,看至第12话,2019-02-05 09:19:24
77013063404336,改名谢罪,98962147,没啥吸引力,1549304895,1,6,看至第4话,2019-02-04 18:28:15
77013063404336,朝日奈响,174377640,太遥远,1533035355,0,10,看至第8话,2018-07-31 11:09:15
77013063404336,宝宝也是醉了233,45980347,最近一星流开始了，大家保护好眼睛，不要喝水,1531729604,2,10,看至第13话,2018-07-16 08:26:44
77013063404336,籽の姉,36893532,楽しい,1549307550,0,10,看至Special,2019-02-04 19:12:30
77013063404336,宠溺喜欢小兔兔,8595045,表白白细胞，很Man!,1549301959,0,10,看至第5话,2019-02-04 17:39:19
77013063404336,Bili_28112456,28112456,通过动画的形式让很多小朋友、年轻人来了解人体的细胞每天的工作方式，这部动画很有教育意义,1549283179,0,10,看至幕后SP,2019-02-04 12:26:19
77013063404336,半山奈,93683435,感觉适合一集一集看,1549274070,0,8,看至Special,2019-02-04 09:54:30
